designation	id_text	museum_no	collection	excavation_no	provenience	period	primary_publication	author	publication_date	publication_history	Cohen_balag	Delnero_no	Delnero_subgenre_no	Delnero_remarks	material	object_type	language	sub_genre	accession_no	cdli_comments	atf_source	date_remarks	cdli_collation	electronic_publication
CT 44, 12	P345521	BM 078175	British Museum, London, UK		Sippar-Yahrurum	Old Babylonian	CT 44, 12	Sollberger, Edmond	1963	M. Cohen, CLAM (1988: 47 = Source A)	B01 abzu pelam	053	Balag Enki (274)		clay	tablet			1888-05-12 Bu, 0004		no atf			
TLB 02, 06	P345845	LB 1823	de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, Holland			Old Babylonian	TLB 2, 6 o. ii 14 - r. iii 13	van Dijk, Johannes J. A.	1957	U. Gabbay, HES 2 (2015: 304–309 = Text III)	B02 uru ašera	485	Balag Enlil (266)		clay	tablet					no atf			
CT 42, 08 BM 088288	P283778	BM 088288	British Museum, London, UK			Old Babylonian	CT 42, 8 = pl. 18-19	Figulla, Hugo H.	1959	M. Cohen, CLAM (1988: 73 = Source A); U. Gabbay, HES 2 (2015: 328–30 = Source C)	B03 e turgin niginam	072	Balag Enki (275)		clay	tablet	Sumerian				no atf			
PBS 01/1, 08	P266508	CBS 11359	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	PBS 1/1, 8	Myhrman, David W.	1911	A. Löhnert, AOAT 365 (2009: 163–65 = Source N2)	B04 utugin eta	286	Balag Enlil (215)		clay	tablet	Sumerian				no atf			
VS 02, 010	P342818	VAT 01438 + VAT 01529 + VAT 01530	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 010	Zimmern, Heinrich	1912	A. Löhnert, AOAT 365 (2009: 112 = Source S10)	B04 utugin eta	149	Balag Enlil (221)		clay	tablet					no atf			
VS 02, 007 +	P342815	VAT 01337 + VAT 1363 (+) VAT 01567				Old Babylonian	VS 02, 007 + VS 02, 013			A. Löhnert, AOAT 365 (2009: 122 = Source S6)	B04 utugin eta	110	Balag Enlil (212)											
VS 02, 005 +	P342813	VAT 01338 + VAT 01406 + VAT 02164 (+) VAT 03702				Old Babylonian	VS 02, 005 + VS 10, 127			A. Löhnert, AOAT 365 (2009: 112 = Source S7)	B04 utugin eta	111	Balag Enlil (213)											
VS 02, 017	P342825	VAT 01346	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 017	Zimmern, Heinrich	1912	A. Löhnert, AOAT 365 (2009: 125 = Source S9); Matini, Lobpreis (2014: 34); Adrian Heinrich, AoF 49 (2022: 69-73)	B05 udam ki amus	115	Balag Enlil (241)		clay	tablet					no atf			
VS 02, 024	P342832	VAT 01566	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 024	Zimmern, Heinrich	1912	M. Cohen, CLAM (1988: 120 = Source B); Matini, Lobpreis (2014: 34)	B05 udam ki amus	170	Balag Enlil (245)		clay	tablet					no atf			
VS 10, 102	P342910	VAT 03421 + VAT 03432	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 102	Zimmern, Heinrich	1913	A. Löhnert, AOAT 365 (2009: 139–40 with n. 497 = Source S13); Matini, Lobpreis (2014: 37)	B05 udam ki amus	176	Balag Enlil (246)		clay	tablet					no atf			
VS 10, 108	P342916	VAT 03567 + VAT 03582	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 108	Zimmern, Heinrich	1913	M. Cohen, CLAM (1988: 120 = Source D)	B05 udam ki amus	205	Balag Enlil (250)		clay	tablet					no atf			
VS 10, 107	P342915	VAT 03471	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 107	Zimmern, Heinrich	1913	M. Cohen, CLAM (1988: 152 = Source A)	B06 ame amašana	184	Balag Enlil (231)		clay	tablet					no atf			
CLAM 822-4	P355671	YBC 16392	Yale Babylonian Collection, New Haven, Connecticut, USA		uncertain	Old Babylonian	Cohen 1988, 822-24	Cohen, Mark E.	1988	M. Cohen, CLAM (1988: 186 = Source A)	B08 enemani ilu ilu	009	Balag Enlil (208)		clay	tablet	Sumerian				no atf			
VS 02, 033	P342841	VAT 01347	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 033	Zimmern, Heinrich	1912	M. Cohen, CLAM (1988: 253 = Source K)	B11p uruhulake (Gula)	116	Balag NG (174)		clay	tablet					no atf			
VS 02, 012 +	P342820	VAT 01334 (+) CBS 00497 (+) VAT 01357				Old Babylonian	VS 02, 012 + PBS 10/2, 12 + VS 02, 016			A. Löhnert, AOAT 365 (2009: 138–39 = Source S3); M. Cohen, CLAM (1988: 258-260; 264-269); J. Krecher, Kultlyrik (1966: 199).	B11p uruhulake (Gula)	108	Balag NG (220)											
N 2983	P278047	N 2983	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd	M. Cohen, CLAM (1988: 272 = Source E)	B12 elum gusun	306	Balag Enlil (224)		clay	tablet	Akkadian				no atf			
PBS 10/2, 13	P257677	CBS 00112	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA			Old Babylonian	PBS 10/2, 13	Langdon, Stephen H.	1917	E. Bergmann, ZA 56 (1964: 13–43); A. Löhnert, AOAT 365 (2009: 390 = Source N1)	B12 elum gusun	256	Balag Enlil (232)		clay	tablet	Sumerian				no atf			
PRAK C 072	P344946	AO 10688	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 072	Genouillac, Henri de	1925	Bowen PSK 525	B12 elum gusun	442	Balag Enlil (237)		clay	tablet					no atf			
RA 016, 208	P290067	NBC 01315	Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA			Old Babylonian	RA 16, 208	Langdon, Stephen H.	1919	U. Gabbay, HES 2 (2015: 286–94 = Text II); M. Cohen, CLAM (1988: 272-298); M. Cohen, Hymnology (1981: 135)	B12 elum gusun	002	Balag Enlil (205)		clay	tablet	Sumerian				no atf			
VS 02, 011	P342819	VAT 00607 (+) AO 03924				Old Babylonian	VS 02, 011 (+) TCL 015, 02			A. Löhnert, AOAT 365 (2009: 152); M. Cohen, CLAM (1988: 266-267)	B12 elum gusun	097	Balag Enlil (211)											
ISET 1 146 (pl.88) 146, Ni 4357	P355667	Ist Ni 04357	Arkeoloji Müzeleri, Istanbul, Turkey		Nippur	Old Babylonian	ISET 1, 146	Kramer, Samuel N., Çig, Muazzez & Kizilyay, Hatice	1969	M. Cohen, CLAM (1988: 319 = Source A)	B13 ame baraanara	354	Balag Enlil (234)		clay	tablet	Sumerian				no atf			
CanLament 347-73, 835-36	P310385	YBC 09838	Yale Babylonian Collection, New Haven, Connecticut, USA			Old Babylonian	Cohen 1988, 835-36	Cohen, Mark E.	1988	A. Löhnert, AOAT 365 (2009: 389 = Source X7)	B15 zibum zibum	007	Balag Enlil (207)		clay	tablet	Sumerian				no atf			
PRAK B 357	P344173	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 357	Genouillac, Henri de	1924	Bowen PSK 505	B15 zibum zibum	394	Balag Enlil (263)		clay	tablet	Sumerian; Akkadian				no atf			
PRAK C 122	P344995	AO 10738	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 122	Genouillac, Henri de	1925	Bowen PSK 531; A. Löhnert, AOAT 365 1(2009: 115; 431); M. Cohen, CLAM (1988: 349-350).	B15 zibum zibum	451	Balag Enlil (264)		clay	tablet					no atf			
VS 02, 008	P342816	VAT 00605 + VAT 01362 + VAT 01368 + VAT 01374 + VAT 01388	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 008	Zimmern, Heinrich	1912	A. Löhnert, AOAT 365 (2009: 387–88 = Source S4)	B15 zibum zibum	095	Balag Enlil (210)		clay	tablet					no atf			
VS 02, 009	P342817	VAT 01465	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 009	Zimmern, Heinrich	1912	A. Löhnert, AOAT 365 (2009: 388–89)	B15 zibum zibum	153	Balag Enlil (214)		clay	tablet					no atf			
VS 10, 127	P342935	VAT 03433	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 151	Zimmern, Heinrich	1913	A. Löhnert, AOAT 365 (2009: 113 = Source S14)	B15 zibum zibum	182	Balag Enlil (230)		clay	tablet					no atf			
YBC 04659	P355670	YBC 04659	Yale Babylonian Collection, New Haven, Connecticut, USA		uncertain	Old Babylonian	Kutscher 1975, pl. 6-7 (labeled VAT 7824)	Kutscher, Raphael	1967	M. Cohen, CLAM (1988: 374 = Source C)	B16 aabba huluha	004	Balag Enlil (206)		clay	tablet	Sumerian				no atf			
VS 10, 195	P343000	VAT 06530	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 195	Zimmern, Heinrich	1913		B16 aabba huluha				clay	tablet					no atf			
JCS 08, 082-3	P355642	NMC 10051	Nationalmuseet, Copenhagen, Denmark		uncertain	Old Babylonian	Kutscher 1975, pl. 3-5	Jacobsen, Thorkild	1954	M. Cohen, CLAM (1988: 374 = Source A)	B16 aabba huluha (Enlil)	480	Balag Enlil (211)		clay	tablet	Sumerian				no atf			
VS 10, 154	P342962	VAT 03514	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 154	Zimmern, Heinrich	1913	M. Cohen, CLAM (1988: 208 = Source E; 479 = Source O)	B29p unkinta ešbar tila; B09p ana elume	185	Uncertain TT Enlil (484)		clay	tablet					no atf			
CT 42, 37 BM 077952	P283769	BM 077952	British Museum, London, UK		Sippar-Yahrurum	Old Babylonian	CT 42, 37	Figulla, Hugo H.	1959		B31 agalgal buru susu				clay	tablet	Sumerian		1885-04-30, 0145		no atf			
CanLament 732-36	P308085	YBC 07096	Yale Babylonian Collection, New Haven, Connecticut, USA			Old Babylonian	YOS 22, 54	Hallo, William W.	2018	M. Cohen, CLAM (1988: 731 = Source B)	B33 dingir paea	006	Balag Shulpae (281)		clay	tablet	Sumerian				no atf			
CT 58, 78	P274275	BM 096568	British Museum, London, UK		Sippar-Yahrurum ?	Old Babylonian	CT 58, 78	Alster, Bendt & Geller, Markham J.	1990	U. Gabbay, Eršema Prayers (2015: 310–23 = Source G); M. Cohen, CLAM (1988: 731-732)	B33 dingir paea	077	Ershemma Shulpae (451)		clay	tablet	Sumerian		1902-04-14, 0002		no atf			
PBS 10/2, 17	P264319	CBS 06890	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	PBS 10/2, 17	Langdon, Stephen H.	1917	M. Cohen, CLAM (1988: 533 = Source A)	B34 abgin gudede	268	Balag ID (13)		clay	tablet					no atf			
Canonical Lamentations 536ff, esp541-45, 840-43, Text C	P302741	NCBT 00688	Newell Collections of Babylonian Tablets, Yale Babylonian Collection, New Haven, Connecticut, USA			Old Babylonian	Cohen 1988, 840-43	Cohen, Mark E.	1988	J. Black, ASJ 7, 1975, 46, (partial T)	B36 uru amirabi	010	Balag ID (6)		clay	tablet	Sumerian				no atf			
CT 42, 48 BM 054707	P283761	BM 054707	British Museum, London, UK			Old Babylonian	CT 42, 48 = pl. 50	Figulla, Hugo H.	1959	M. Cohen, CLAM (1988: 536 = Source B)	B36 uru amirabi	038	Balag ID (8)		clay	tablet	Sumerian		1882-05-22, 1033		no atf			
PRAK C 026	P344901	AO 10646	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 026	Genouillac, Henri de	1925	Bowen PSK 515	B36 uru amirabi	422	Balag ID (104)		clay	tablet					no atf			
PRAK C 058	P344932	AO 10678	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 058	Genouillac, Henri de	1925	Bowen PSK 522	B36 uru amirabi	438	Balag ID (158)		clay	tablet					no atf			
RA 114, 098 11	P355669	Sb 12436	Louvre Museum, Paris, France		Susa 	Old Babylonian	RA 114, 098 11	Cavigneaux, Antoine	2020	A. Cavigneaux, RA 114 (2020: 98); M. Cohen, CLAM (1988: 552); P. Delnero, SANER 26 (2021: 312-313).	B36 uru amirabi	252	Balag ID (23)		clay	tablet	Sumerian				no atf			
SRT 46	P345337	Ist Ni 02412	Arkeoloji Müzeleri, Istanbul, Turkey		Nippur	Old Babylonian	SRT 46	Chiera, Edward	1924	Volk (1989: 7–8 and 23–24)	B36 uru amirabi	353	Balag ID (17)		clay	tablet					no atf			
TCL 16, 68	P345412	AO 06905b	Louvre Museum, Paris, France		uncertain	Old Babylonian	TCL 16, 68	Genouillac, Henri de	1930	Delnero (2020, Appendix 1: Uruamairabi – Source X1)	B36 uru amirabi	229	Balag ID (12)		clay	tablet					no atf			
VS 02, 029	P342837	VAT 01339	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 029	Zimmern, Heinrich	1912	A. Löhnert, AOAT 365 (2009: 393 = Source S8)	B36 uru amirabi	112	Balag ID (10)		clay	tablet					no atf			
PRAK C 052 +	P344926	AO 10672 + AO 10737 +				Old Babylonian	PRAK C 052 + PRAK C 121 (+) PRAK B 442			Delnero (2020, Appendix 1: Uruamairabi – Source K1) = Bowen PSK 520	B36 uru amirabi	434	Balag ID (21)											
PRAK B 396	P344212	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 396 (Ki 976) + PRAK B 444 (Ki 1035)	Genouillac, Henri de	1924	Delnero (2020, Appendix 1: Uruamairabi – Source K2) = Bowen PSK 507	B36 uru amirabi	401	Balag ID (20)											
IM 044737	P355666	IM 044737	National Museum of Iraq, Baghdad, Iraq		uncertain	Old Babylonian	Sumer 11, pl. VII	van Dijk, Johannes J.A.	1955	M. Cohen, CLAM (1988: 537 = Source WW); P. Delnero, SANER 26 (2021: 375)	B36p uru amirabi	474	Balag ID (105)		clay	tablet	Sumerian				no atf			
PRAK B 348	P344164	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 348	Genouillac, Henri de	1924	Delnero (2020, Appendix 1: Uruamairabi – Source K4) = Bowen PSK 504	B36p uru amirabi	390	Balag ID (49)		clay	tablet	Sumerian; Akkadian				no atf			
PRAK D 007 + D 038	P345023	AO 10766 + AO 10797	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK D 007 + PRAK D 038	Genouillac, Henri de	1925	A. Cavigneaux, ASJ 9 (1987: 65); Bowen PSK 532	B36p uru amirabi	457	Balag ID (52)		clay	tablet					no atf			
VS 17, 51	P343070	VAT 08201	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 17, 51	van Dijk, Johannes J. A.	1971	Delnero (2020, Appendix 1: Uruamairabi – Source X2)	B36p uru amirabi	220	Balag ID (36)		clay	tablet					no atf			
PRAK B 264	P344080	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 264 (Ki 847)	Genouillac, Henri de	1924	Bowen PSK 498	B36p uru amirabi	377	Balag ID (147)											
MBI 05, pl. 12	P267066	CBS 11932	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	MBI 5	Barton, George A.	1918	M. Cohen, CLAM (1988: 604 = Source A)	B37 imma gudede	290	Balag Enlil (256)		clay	tablet					no atf			
PRAK B 308	P344124	Ist —	Arkeoloji Müzeleri, Istanbul, Turkey		Kish	Old Babylonian	PRAK B 308	Genouillac, Henri de	1924	Bowen PSK 501	B37 imma gudede	382	Uncertain TT and D (499)		clay	tablet	Sumerian; Akkadian				no atf			
PRAK C 006	P344881	AO 10626	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 006	Genouillac, Henri de	1925	Bowen PSK 512	B37 imma gudede	418	Balag ID (154)		clay	tablet					no atf			
UET 6, 0191	P346276	BM —	British Museum, London, UK	U —	Ur 	Old Babylonian	UET 6, 0191	Gadd, Cyril J. & Shaffer, Aaron	1963, 1966, 2006	Dornauer, Aron, Archiv des Mannu-ki-Assur (2014)	B37 imma gudede				clay	tablet	Akkadian		1920-12-11, 0517		no atf			
VS 10, 181	P342989	VAT 01574	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 10, 181	Zimmern, Heinrich	1913	M. Cohen, CLAM (1988: 604 = Source B)	B37 immal gudede	171	Balag Uncertain Deity (295)		clay	tablet					no atf			
VS 02, 028	P342836	VAT 01410 +	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 028	Zimmern, Heinrich	1912	Volk (1989: 46–47)	B39 a urumu ime	136	Balag ID (32)		clay	tablet					no atf			
YBC 09862	P310399	YBC 09862	Yale Babylonian Collection, New Haven, Connecticut, USA			Old Babylonian	CLAM 642	Cohen, Mark E.	1988	M. Cohen, CLAM (1988: 642 = Parallel Source C); Volk (1989: 46–47); P. Delnero, SANER 26 187.	B39p a urumu ime	008	Balag ID (1)		clay	tablet	Sumerian				no atf			
TCL 16, 69	P345413	AO 06906a	Louvre Museum, Paris, France		uncertain	Old Babylonian	TCL 16, 69	Genouillac, Henri de	1930	M. Cohen, CLAM (1988: 650 = Source B); Volk (1989: 8); S. Sövegjártó, Dubsar 18 (2020: 149-155).	B42 uru hulake (Inana)	230	Balag ID (38)		clay	tablet					no atf			
TCL 16, 95	P345439	AO 09070	Louvre Museum, Paris, France		uncertain	Old Babylonian	TCL 16, 95	Genouillac, Henri de	1930	M. Cohen, CLAM (1988: 650 = Source A)	B42 uru hulake (Inana)	236	Balag ID (90)		clay	tablet					no atf			
TMH NF 4, 56	P345696	HS 1507	Hilprecht Collection, University of Jena, Germany		uncertain	Old Babylonian	TUM 4, 56	Bernhardt, Inez & Kramer, Samuel N.	1967	M. Cohen, CLAM (1988: 650 = Source C)	B42 uru hulake (Inana)	359	Balag ID (101)		clay	tablet					no atf			
VS 02, 026	P342834	VAT 00611 + VAT 00612 + VAT 01321	Vorderasiatisches Museum, Berlin, Germany		uncertain	Old Babylonian	VS 02, 026	Zimmern, Heinrich	1912	M. Cohen, CLAM (1988: 668 = Source A); M. Fritz, AOAT 307 (2003: 179, 255–57, 261)	B43 edena usagake	101	Balag ID (30)		clay	tablet					no atf			
PRAK C 074	P344948	AO 10690	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 074	Genouillac, Henri de	1925	Black (1985: 85–86); Bowen PSK 526	B44 ašer gita	443	Balag ID (50)		clay	tablet					no atf			
PRAK C 008 +	P493195	AO 10628 + AO 10654 + AO 10724 + AO 10754 + AO 10758	Louvre Museum, Paris, France		Kish	Old Babylonian	PRAK C 008 (+) PRAK C 108 (+) PRAK C 138 (+) PRAK D 041 (+)? PRAK C 062 (+) PRAK C 116	Genouillac, Henri de	1925	Bowen PSK 513	B45 guruš mulu era	420	Balag ID (103)											
205-TM 4	P355702	IM —	National Museum of Iraq, Baghdad, Iraq	H 0002	Me-Turan	Old Babylonian				Volk (1989: 21–45)		476	Balag ID (22)	Unpublished, see Volk 1989, 1 n. 11 and Volk 2006, 92 n. 6	clay	tablet					no atf			
AfO 24, 015-017 & pl. III no. 6	P405569	WML 56.05.01	World Museum Liverpool, Liverpool, UK			Old Babylonian	AfO 24, 015-017	Wilcke, Claus	1973	Wilcke (1973: 15–17)		486	Ershemma Enlil (412)		clay	tablet	Sumerian			20100602 veldhuis:  duplicates (and restores) a section from the emesal lament uru2 a-sze-er-ra	Vacin, Ludek			
AOAT 203, 01-02, 14	P289914	NBC 11433	Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA		uncertain	Old Babylonian	Hallo 1979	Hallo, William W.	1979	A. Löhnert, AOAT 365 (2009: 145–146 = Source X6)		003	Balag Enlil (217)		clay	tablet	Sumerian				no atf			
AoF 48, 080	P527055		Private Collection		uncertain	Old Babylonian	AoF 48, 080	Gabbay, Uri	2021				Ershemma Dumuzi		clay	tablet	Sumerian				no atf			
ASJ 03, 010-011	P355695	BM 029616	British Museum, London, UK		uncertain	Old Babylonian	Kramer 1981, 10-11	Kramer, Samuel N.	1981	S. Kramer ASJ 3 (1981: 1-11)		029	Balag ID (7)		clay	tablet	Sumerian		1898-11-15, 0002		no atf			
ASJ 15, 010	P430946	YBC 06822	Yale Babylonian Collection, New Haven, Connecticut, USA			Old Babylonian	Alster 1993, 10	Alster, Bendt	1993			005	Balag ID (54)		clay	tablet					no atf			
ASJ 18, 031-032	P278426	N 3390	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	Cavigneaux 1996, 31-32	Cavigneaux, Antoine	1996	Cavigneaux (1996: 31–34); Gabbay (2014: 11 with n. 51)		321	Balag ID (48)		clay	tablet	Akkadian				no atf			
AuOr 01, 053	P355690	OIM A29965	Oriental Institute, University of Chicago, Chicago, Illinois, USA	2N-T0226	Nippur	Old Babylonian	AuOr 01, 053	Civil, Miguel	1983	Civil (1983: 52–53)		364	Balag ID (15)		clay	tablet	Sumerian				no atf			
AUWE 23, 125	P349128			W 16743,cg	Uruk	Old Babylonian	AUWE 23, 125	Cavigneaux, Antoine	1996	A. Löhnert, AOAT 365 (2009: 134 = Source W1)		222	Balag NG (179)		clay	tablet	Akkadian				no atf			
AUWE 23, 127	P349130	VAT 21585	Vorderasiatisches Museum, Berlin, Germany	W 17259,m	Uruk	Old Babylonian	AUWE 23, 127	Cavigneaux, Antoine	1996	Delnero, Paul, Fs Civil90 (2017) 080-102		223	Uncertain TT Enlil (486)		clay	tablet					no atf			
AUWE 23, 135	P349138			W 16743,aw	Uruk	Old Babylonian	AUWE 23, 135	Cavigneaux, Antoine	1996	Black (2005: 56)		221	Balag AD (192)		clay	tablet	Akkadian				no atf			
BE 30/1, 006	P266487	CBS 11330	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	BE 30/1, 6	Radau, Hugo	1913	M. Fritz, AOAT 307 (2003: 130–31)		283	Balag ID (93)		clay	tablet	Sumerian				no atf			
BE 30/1, 007	P265348	CBS 10084	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	BE 30/1, 7	Radau, Hugo	1913	M. Fritz, AOAT 307 (2003: 131–32)		273	Balag ID (120)		clay	tablet	Sumerian				no atf			
BE 30/1, 008	P266485	CBS 11328	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	BE 30/1, 8	Radau, Hugo	1913	M. Cohen, CLAM (1988: 186 = Source I)		282	Balag ID (42)		clay	tablet	Sumerian				no atf			
BE 30/1, 009	P266312	CBS 11151	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	BE 30/1, 9	Radau, Hugo	1913			278	Balag ID (14)		clay	tablet	Sumerian				no atf			
BE 30/1, 011	P265349	CBS 10085	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	BE 30, 11	Radau, Hugo	1913			274	Balag ID (121)		clay	tablet	Sumerian				no atf			
BE 30/1, 012	P257924	CBS 00475	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA			Old Babylonian	BE 30/1, 12 = PBS 10/2, 15	Radau, Hugo	1913	Black (1985: 71); Gabbay (2014: 235 with n. 55); M. Cohen, Hymnology (1981: 70-71; 159-162).		259	Ershemma ID (338)		clay	tablet	Sumerian				no atf			
BE 30/1, 013	P259101	CBS 01781 + CBS 00901	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA			Old Babylonian	BE 30, 13	Radau, Hugo	1913			260	Balag ID (118)											
BE 31, 016	P345092	Ist Ni 02327	Arkeoloji Müzeleri, Istanbul, Turkey		Nippur	Old Babylonian	BE 31, 16	Langdon, Stephen H.	1914	Kramer JAOS 060, 241		351	Balag ID (144)		clay	tablet					no atf			
BE 31, 017	P345093	Ist Ni 02273	Arkeoloji Müzeleri, Istanbul, Turkey		Nippur	Old Babylonian	BE 31, 17	Langdon, Stephen H.	1914	Kramer JAOS 060, 241		349	Ershemma ID (339)		clay	tablet					no atf			
BE 31, 019	P345095	Ist Ni 01577	Arkeoloji Müzeleri, Istanbul, Turkey		Nippur	Old Babylonian	BE 31, 19	Langdon, Stephen H.	1914			348	Balag ID (143)		clay	tablet					no atf			
BIN 02, 026	P297213	NBC 01313	Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA			Old Babylonian	BIN 2, 26	Nies, James B.	1920	M. Fritz, AOAT 307 (2003: 117–118)		001	Balag ID (25)		clay	tablet	Sumerian				no atf			
BM 023104	P345736	BM 023104	British Museum, London, UK		uncertain	Old Babylonian		nn	nd			020	Balag Nergal (282)	Unpublished, see Kramer 1980b, 296	clay	tablet			1897-05-13, 0002		no atf			
BM 054315 + BM 054698 + BM 072969	P345741	BM 054315 + BM 054698 + BM 072969	British Museum, London, UK		uncertain	Old Babylonian		nn	nd			036	Balag ID (26)		clay	tablet			1882-05-22, 0467		no atf			
BM 054823	P345748	BM 054823	British Museum, London, UK		uncertain	Old Babylonian		nn	nd			039	Balag ID (8)		clay	tablet			1882-05-22, 1152		no atf			
BM 057654	P345752	BM 057654	British Museum, London, UK		uncertain	Old Babylonian		nn	nd			043	Ershemma ID (354)		clay	tablet	Sumerian		1882-07-14, 2065		no atf			
BM 078983	P345767	BM 078983	British Museum, London, UK		Sippar-Yahrurum	Old Babylonian		nn	nd			056	Balag ID (28)	Unpublished, see Michalowski 1980, 267	clay	tablet			1889-04-26 Bu, 0278		no atf			
BM 080541	P345771	BM 080541	British Museum, London, UK		uncertain	Old Babylonian		nn	nd			058	Balag ID (64)		clay	tablet			1891-05-09 Bu, 0679		no atf			
BM 100059	P345779	BM 100059	British Museum, London, UK		uncertain	Old Babylonian		nn	nd			089	Balag ID (71)	Unpublished, see Kramer 1980b, 299	clay	tablet			1905-05-15, 0019		no atf			
CBS 00106	P257671	CBS 00106	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA			Old Babylonian		nn	nd	A. Cavigneaux, JAOS 113 (1993: 255); P. Delnero, SANER 26 (2021: 374)		255	Balag ID (39)		clay	tablet	Sumerian				no atf			
CBS 00145 + CBS 00170	P257710	CBS 00145 + CBS 00170	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA			Old Babylonian		nn	nd			258	Ershemma ID (337)	Unpublished, see Cohen 1981, 16 n. 114	clay	tablet	Sumerian				no atf			
CBS 02337	P259344	CBS 02337	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			266	Balag Enlil (254)		clay	tablet	Sumerian				no atf			
CBS 10333	P265559	CBS 10333	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			275	Balag Uncertain Deity (305)		clay	tablet					no atf			
CBS 11321 + CBS 11329 + N 3325 + N 3328	P266481	CBS 11321 + CBS 11329 + N 3325 + N 3328	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian		nn	nd			280	Balag ID (122)		clay	tablet	Sumerian				no atf			
CBS 11371 +	P266518	CBS 11371 + CBS 11419 + N 3361 + N 3392 + N 6471a + N 7668 + N 7716	University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA		Nippur	Old Babylonian	Alster 1992, 45-46			B. Alster, ASJ 14 (1992)		287	Balag ID (95)											
